,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,8.0,2.0,8.0,8.0,2.0,5.0,1.0,6.0,3.0,8.0,2.0,9.0,10.0,2.0,9.0,7.0,10.0,4.0,2.0,3.0,6.0,9.0,4.0,5.0
B,6.0,6.0,7.0,8.0,4.0,7.0,2.0,4.0,7.0,3.0,8.0,3.0,8.0,1.0,2.0,1.0,5.0,2.0,5.0,7.0,3.0,5.0,3.0,9.0
C,2.0,2.0,2.0,6.0,10.0,4.0,5.0,2.0,5.0,1.0,3.0,8.0,10.0,1.0,8.0,3.0,1.0,2.0,3.0,4.0,10.0,10.0,7.0,1.0
D,4.0,9.0,1.0,5.0,9.0,4.0,6.0,3.0,3.0,2.0,6.0,7.0,6.0,5.0,3.0,7.0,8.0,4.0,1.0,7.0,5.0,8.0,10.0,1.0
E,6.0,1.0,5.0,5.0,6.0,1.0,4.0,9.0,5.0,9.0,4.0,1.0,8.0,8.0,2.0,8.0,3.0,8.0,9.0,5.0,5.0,1.0,7.0,6.0
F,7.0,5.0,10.0,5.0,7.0,7.0,9.0,5.0,7.0,1.0,5.0,7.0,6.0,5.0,6.0,4.0,6.0,4.0,10.0,8.0,8.0,1.0,2.0,2.0
G,2.0,5.0,8.0,9.0,5.0,9.0,8.0,5.0,9.0,10.0,10.0,7.0,2.0,4.0,7.0,9.0,2.0,4.0,6.0,7.0,5.0,7.0,2.0,4.0
H,1.0,1.0,4.0,7.0,8.0,6.0,6.0,5.0,9.0,6.0,4.0,4.0,7.0,8.0,6.0,1.0,4.0,7.0,10.0,2.0,9.0,7.0,4.0,9.0
I,6.0,8.0,4.0,10.0,10.0,9.0,9.0,7.0,9.0,2.0,9.0,6.0,2.0,1.0,2.0,1.0,2.0,6.0,6.0,8.0,6.0,3.0,1.0,3.0
J,7.0,1.0,5.0,3.0,7.0,2.0,9.0,4.0,3.0,9.0,2.0,8.0,8.0,9.0,10.0,7.0,4.0,9.0,8.0,7.0,5.0,5.0,1.0,2.0
K,6.0,9.0,9.0,10.0,3.0,6.0,9.0,1.0,5.0,5.0,6.0,8.0,8.0,3.0,5.0,1.0,3.0,9.0,10.0,3.0,6.0,6.0,8.0,2.0
L,2.0,5.0,5.0,4.0,1.0,3.0,5.0,3.0,2.0,6.0,4.0,2.0,4.0,5.0,8.0,10.0,5.0,5.0,8.0,4.0,5.0,9.0,8.0,4.0
M,4.0,5.0,2.0,5.0,6.0,3.0,8.0,5.0,3.0,6.0,1.0,4.0,3.0,5.0,9.0,5.0,10.0,10.0,1.0,6.0,5.0,10.0,10.0,6.0
N,8.0,8.0,6.0,9.0,4.0,3.0,10.0,6.0,8.0,2.0,6.0,7.0,5.0,7.0,9.0,7.0,3.0,4.0,10.0,10.0,8.0,2.0,5.0,8.0
O,5.0,6.0,4.0,6.0,6.0,1.0,6.0,9.0,6.0,1.0,4.0,5.0,6.0,2.0,5.0,1.0,3.0,2.0,3.0,1.0,6.0,10.0,4.0,8.0
P,5.0,10.0,5.0,8.0,2.0,7.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,9.0,4.0,10.0,1.0,10.0,10.0,3.0,5.0,5.0,2.0
